id_os,id_cliente,id_servico,valor,status,data_os
1,1,1,120,Finalizado,2026-01-05
2,2,2,80,Finalizado,2026-01-05
3,1,3,350,Finalizado,2026-01-06
4,4,1,120,Pendente,2026-01-06
5,2,3,300,Finalizado,2026-01-08
6,3,4,500,Finalizado,2026-01-08
7,1,4,500,Finalizado,2026-01-10
8,4,2,80,Finalizado,2026-01-10
9,3,3,320,Pendente,2026-01-12
10,2,4,500,Finalizado,2026-01-12
11,5,5,450,Finalizado,2026-01-12
12,6,1,120,Finalizado,2026-01-15
13,6,3,380,Finalizado,2026-01-15
14,5,5,420,Cancelado,2026-01-18
15,3,2,90,Finalizado,2026-01-18
16,2,1,130,Finalizado,2026-01-20
17,1,5,470,Finalizado,2026-01-20
18,6,4,550,Finalizado,2026-01-22
